,category,nominee,artist,workers
3496,Best Opera Recording,Schoenberg: Moses Und Aron,,"Philip Langridge & Franz Mazura; Georg Solti, conductor; James Mallinson, producer (Chicago Symphony Chorus; Chicago Symphony Orchestra)"
3497,Best Choral Performance (Other Than Opera),Berlioz: Requiem,,"Robert Shaw, conductor (Atlanta Symphony Chorus; Atlanta Symphony Orchestra)"
3498,Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),"Elgar: Cello Concerto, Op. 85/Walton: Concerto For Cello & Orch.",,"Yo-Yo Ma, artist (London Symphony Orchestra)"
3499,Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),Ravel: Gaspard De La Nuit; Pavane Pour Une Infante Defunte; Valses Nobles Et Sentimentales,,"Vladimir Ashkenazy, artist"
3500,Best Chamber Music Performance,Brahms: Cello And Piano Sonatas In E Minor And F,,"Emanuel Ax & Yo-Yo Ma, artists"
3501,Best Classical Vocal Soloist Performance,Berlioz: Requiem,,(Robert Shaw; Atlanta Symphony Orchestra)
3502,Best New Classical Artist,Stravinsky: L' Histoire Du Soldat (The Soldier's Tale - Suite) - (also) - Walton: Façade (An Instrumental Suite In The Original Scoring),,
3503,Best Contemporary Composition,Lloyd Webber: Requiem,,"Andrew Lloyd Webber, composer"
3504,"Best Engineered Recording, Classical",Berlioz: Requiem,,"Jack Renner, engineer (Robert Shaw, conductor)"
3505,Classical Producer Of The Year,Robert Woods,,
3506,Record Of The Year,What's Love Got To Do With It,Tina Turner,"Terry Britten, producer"
3507,Album Of The Year,Can't Slow Down,Lionel Richie,"James Anthony Carmichael & Lionel Richie, producers"
3508,Song Of The Year,What's Love Got To Do With It,,"Terry Britten & Graham Lyle, songwriters (Tina Turner)"
3509,Best New Artist,Cyndi Lauper,,
3510,"Best Pop Vocal Performance, Female",What's Love Got To Do With It,Tina Turner,
3511,"Best Pop Vocal Performance, Male",Against All Odds (Take A Look At Me Now),Phil Collins,
3512,Best Pop Performance By A Duo Or Group With Vocal,Jump (For My Love),The Pointer Sisters,
3513,Best Pop Instrumental Performance,Ghostbusters (Instrumental),"Ray Parker, Jr.",
3514,"Best Rock Vocal Performance, Female",Better Be Good To Me,Tina Turner,
3515,"Best Rock Vocal Performance, Male",Dancing In The Dark,Bruce Springsteen,
3516,Best Rock Performance By A Duo Or Group With Vocal,Purple Rain - Music From The Motion Picture,Prince & The Revolution,
3517,Best Rock Instrumental Performance,Cinema,Yes,
3518,"Best R&B Vocal Performance, Female",I Feel For You,Chaka Khan,
3519,"Best R&B Vocal Performance, Male",Caribbean Queen (No More Love On The Run),Billy Ocean,
3520,Best R&B Performance By A Duo Or Group With Vocal,Yah Mo B There,James Ingram & Michael McDonald,
3521,Best R&B Instrumental Performance,Sound System,Herbie Hancock,
3522,Best Rhythm & Blues Song,I Feel For You,,"Prince, songwriter (Chaka Khan)"
3523,"Best Jazz Fusion Performance, Vocal Or Instrumental",First Circle,Pat Metheny Group,
3524,"Best Country Vocal Performance, Female",In My Dreams,Emmylou Harris,
